material1,material2,pred_temp,weights
H1+,N3-,[53.01193372],[0.75 0.25]
N1+,H1-,[52.96441046],[0.5 0.5]
H1+,N1-,[52.96441046],[0.5 0.5]
N4+,H1-,[52.89983288],[0.2 0.8]
O0.5+,S1-,[52.84796555],[0.66666667 0.33333333]
S2+,O1-,[52.84796555],[0.33333333 0.66666667]
O1+,S2-,[52.84796555],[0.66666667 0.33333333]
S1+,O0.5-,[52.84796555],[0.33333333 0.66666667]
C1+,O2-,[52.83564538],[0.66666667 0.33333333]
O2+,C1-,[52.83564538],[0.33333333 0.66666667]
Br7+,O2-,[52.82378487],[0.22222222 0.77777778]
Br3+,O1-,[52.7902558],[0.25 0.75]
O0.5+,Br1-,[52.75893501],[0.66666667 0.33333333]
Br1+,O0.5-,[52.75893501],[0.33333333 0.66666667]
Ag3+,Cl1-,[52.5746578],[0.25 0.75]
H1+,H1-,[52.38093651],[0.5 0.5]
Br5+,O2-,[52.33785434],[0.28571429 0.71428571]
S4+,O2-,[52.17593994],[0.33333333 0.66666667]
Br4+,O2-,[52.0724199],[0.33333333 0.66666667]
N5+,C2-,[51.91401136],[0.28571429 0.71428571]
H1+,O2-,[51.82666975],[0.66666667 0.33333333]
O2+,H1-,[51.82666975],[0.33333333 0.66666667]
N5+,C1-,[51.73872387],[0.16666667 0.83333333]
N3+,C1-,[51.56858404],[0.25 0.75]
C1+,N3-,[51.56858404],[0.75 0.25]
O1+,F1-,[51.54424215],[0.5 0.5]
N4+,C1-,[51.39084454],[0.2 0.8]
Cl4+,O0.5-,[51.20126358],[0.11111111 0.88888889]
N5+,C3-,[51.17528991],[0.375 0.625]
N4+,C2-,[50.99013585],[0.33333333 0.66666667]
N4+,F1-,[50.97624028],[0.2 0.8]
N5+,C4-,[50.79923949],[0.44444444 0.55555556]
N4+,C3-,[50.74335714],[0.42857143 0.57142857]
C4+,N3-,[50.69214484],[0.42857143 0.57142857]
N3+,C4-,[50.69214484],[0.57142857 0.42857143]
C3+,N3-,[50.65978571],[0.5 0.5]
N3+,C3-,[50.65978571],[0.5 0.5]
N4+,C4-,[50.64143837],[0.5 0.5]
N2+,C4-,[50.611697],[0.66666667 0.33333333]
C4+,N2-,[50.611697],[0.33333333 0.66666667]
B3+,O2-,[50.53734353],[0.4 0.6]
O2+,B3-,[50.53734353],[0.6 0.4]
O0.333+,B3-,[50.38320699],[0.90009001 0.09990999]
B3+,O0.333-,[50.38320699],[0.09990999 0.90009001]
N2+,C1-,[50.35694133],[0.33333333 0.66666667]
C1+,N2-,[50.35694133],[0.66666667 0.33333333]
P2+,F1-,[50.2659572],[0.33333333 0.66666667]
S2+,F1-,[50.26058916],[0.33333333 0.66666667]
B2+,O0.333-,[50.21098535],[0.14273468 0.85726532]
O0.333+,F1-,[50.1476979],[0.75018755 0.24981245]
B1+,O0.5-,[50.065509],[0.33333333 0.66666667]
B2+,O1-,[50.065509],[0.33333333 0.66666667]
O0.5+,B1-,[50.065509],[0.66666667 0.33333333]
C3+,N2-,[50.00834608],[0.4 0.6]
N2+,C3-,[50.00834608],[0.6 0.4]
N3+,C2-,[49.99509259],[0.4 0.6]
C2+,N3-,[49.99509259],[0.6 0.4]
C2+,N1-,[49.93177979],[0.33333333 0.66666667]
N1+,C2-,[49.93177979],[0.66666667 0.33333333]
O0.5+,F1-,[49.92682535],[0.66666667 0.33333333]
N1+,C1-,[49.91152116],[0.5 0.5]
N2+,C2-,[49.91152116],[0.5 0.5]
C1+,N1-,[49.91152116],[0.5 0.5]
C2+,N2-,[49.91152116],[0.5 0.5]
N2+,F1-,[49.78615148],[0.33333333 0.66666667]
B1+,O1-,[49.6920374],[0.5 0.5]
B2+,O2-,[49.6920374],[0.5 0.5]
O1+,B1-,[49.6920374],[0.5 0.5]
B3+,O0.5-,[49.62275006],[0.14285714 0.85714286]
O0.5+,B3-,[49.62275006],[0.85714286 0.14285714]
C1+,H1-,[49.48645484],[0.5 0.5]
H1+,C1-,[49.48645484],[0.5 0.5]
H1+,Cl1-,[49.44666495],[0.5 0.5]
Cl1+,H1-,[49.44666495],[0.5 0.5]
N3+,F1-,[49.41773672],[0.25 0.75]
Br7+,O1-,[49.19765054],[0.125 0.875]
N5+,Cl1-,[49.17666589],[0.16666667 0.83333333]
O2+,Cl1-,[49.10212736],[0.33333333 0.66666667]
Cl1+,O2-,[49.10212736],[0.66666667 0.33333333]
Cl7+,N2-,[49.09715273],[0.22222222 0.77777778]
Kr2+,O0.333-,[49.08973065],[0.14273468 0.85726532]
Cl7+,N1-,[49.0872797],[0.125 0.875]
Cu1+,O0.333-,[49.02415966],[0.24981245 0.75018755]
Kr2+,O0.5-,[48.96672435],[0.2 0.8]
N4+,Cl1-,[48.90523641],[0.2 0.8]
Cl7+,N3-,[48.84918312],[0.3 0.7]
Cl5+,N1-,[48.81380991],[0.16666667 0.83333333]
Cl6+,N1-,[48.7817705],[0.14285714 0.85714286]
Kr2+,O1-,[48.74171067],[0.33333333 0.66666667]
Cl1+,O1-,[48.63761704],[0.5 0.5]
O1+,Cl1-,[48.63761704],[0.5 0.5]
N1+,C3-,[48.59561928],[0.75 0.25]
C3+,N1-,[48.59561928],[0.25 0.75]
B1+,O2-,[48.52220253],[0.66666667 0.33333333]
O2+,B1-,[48.52220253],[0.33333333 0.66666667]
Kr2+,H1-,[48.50993898],[0.33333333 0.66666667]
S1+,H1-,[48.48519742],[0.5 0.5]
H1+,S1-,[48.48519742],[0.5 0.5]
Cl1+,F1-,[48.43930361],[0.5 0.5]
Cl5+,N3-,[48.34095651],[0.375 0.625]
C4+,N1-,[48.32559127],[0.2 0.8]
N1+,C4-,[48.32559127],[0.8 0.2]
Ag3+,B3-,[48.31123656],[0.5 0.5]
Cl6+,N3-,[48.31111937],[0.33333333 0.66666667]
S1+,F1-,[48.30891935],[0.5 0.5]
Br1+,O2-,[48.25490842],[0.66666667 0.33333333]
O2+,Br1-,[48.25490842],[0.33333333 0.66666667]
Cu2+,O0.5-,[48.20621182],[0.2 0.8]
S6+,H1-,[48.07334978],[0.14285714 0.85714286]
Cl7+,O0.333-,[48.07008028],[0.04541116 0.95458884]
Cl3+,O2-,[48.04998973],[0.4 0.6]
Ag3+,N1-,[47.98397199],[0.25 0.75]
S5+,H1-,[47.93731512],[0.16666667 0.83333333]
B2+,O0.5-,[47.92020879],[0.2 0.8]
Cl6+,N2-,[47.90009392],[0.25 0.75]
H1+,C4-,[47.86494725],[0.8 0.2]
C4+,H1-,[47.86494725],[0.2 0.8]
Cl4+,O0.333-,[47.82949949],[0.07685207 0.92314793]
Cl5+,O0.333-,[47.82949949],[0.0624414 0.9375586]
H1+,C3-,[47.82375678],[0.75 0.25]
C3+,H1-,[47.82375678],[0.25 0.75]
Cl2+,N1-,[47.79932948],[0.33333333 0.66666667]
B1+,O0.333-,[47.75164346],[0.24981245 0.75018755]
O1+,B3-,[47.75164346],[0.75 0.25]
B3+,O1-,[47.75164346],[0.25 0.75]
O0.333+,B1-,[47.75164346],[0.75018755 0.24981245]
Ag3+,O0.333-,[47.73115313],[0.09990999 0.90009001]
Cl6+,O0.333-,[47.71465355],[0.05258171 0.94741829]
Cl5+,O0.5-,[47.71011713],[0.09090909 0.90909091]
Cl7+,O0.5-,[47.64052882],[0.06666667 0.93333333]
Ag1+,O0.333-,[47.62713725],[0.24981245 0.75018755]
Cl6+,O0.5-,[47.62713094],[0.07692308 0.92307692]
Cl3+,N2-,[47.62161422],[0.4 0.6]
Cl4+,N1-,[47.61272412],[0.2 0.8]
Br1+,O1-,[47.58606449],[0.5 0.5]
O1+,Br1-,[47.58606449],[0.5 0.5]
Cl3+,N1-,[47.58270432],[0.25 0.75]
S2+,H1-,[47.52138402],[0.33333333 0.66666667]
H1+,S2-,[47.52138402],[0.66666667 0.33333333]
Cl5+,N2-,[47.48186526],[0.28571429 0.71428571]
Cl2+,O2-,[47.38450373],[0.5 0.5]
Cl3+,O0.333-,[47.37862013],[0.09990999 0.90009001]
C2+,H1-,[47.3441466],[0.33333333 0.66666667]
H1+,C2-,[47.3441466],[0.66666667 0.33333333]
Cl4+,N2-,[47.32308488],[0.33333333 0.66666667]
S3+,H1-,[47.23631568],[0.25 0.75]
Ag3+,F1-,[47.15062265],[0.25 0.75]
B3+,H1-,[47.07785848],[0.25 0.75]
H1+,B3-,[47.07785848],[0.75 0.25]
S4+,H1-,[46.94120867],[0.2 0.8]
Br7+,O0.333-,[46.89635246],[0.04541116 0.95458884]
S6+,O0.333-,[46.8544353],[0.05258171 0.94741829]
B2+,H1-,[46.74329266],[0.33333333 0.66666667]
Ag2+,B3-,[46.68547625],[0.6 0.4]
S5+,O2-,[46.49917549],[0.28571429 0.71428571]
Br1+,F1-,[46.233037],[0.5 0.5]
S5+,O0.333-,[46.2182888],[0.0624414 0.9375586]
S4+,O0.333-,[46.2182888],[0.07685207 0.92314793]
B1+,H1-,[46.20450589],[0.5 0.5]
H1+,B1-,[46.20450589],[0.5 0.5]
S6+,O0.5-,[46.01592025],[0.07692308 0.92307692]
S3+,O0.333-,[45.99208103],[0.09990999 0.90009001]
S1+,O2-,[45.91131624],[0.66666667 0.33333333]
O2+,S1-,[45.91131624],[0.33333333 0.66666667]
Br3+,O0.333-,[45.86343196],[0.09990999 0.90009001]
Ag3+,O1-,[45.8452605],[0.25 0.75]
S4+,O0.5-,[45.83205702],[0.11111111 0.88888889]
Br3+,O2-,[45.77905283],[0.4 0.6]
S5+,O0.5-,[45.72937635],[0.09090909 0.90909091]
Br4+,O0.333-,[45.56347085],[0.07685207 0.92314793]
Br4+,O0.5-,[45.55554798],[0.11111111 0.88888889]
Br5+,O0.5-,[45.54073626],[0.09090909 0.90909091]
Br5+,O0.333-,[45.49466889],[0.0624414 0.9375586]
S2+,O0.333-,[45.44211884],[0.14273468 0.85726532]
O0.333+,S2-,[45.44211884],[0.85726532 0.14273468]
S3+,O0.5-,[45.44211884],[0.14285714 0.85714286]
Br7+,O0.5-,[45.36708758],[0.06666667 0.93333333]
Cu2+,O0.333-,[45.17497409],[0.14273468 0.85726532]
O0.333+,S1-,[45.08266576],[0.75018755 0.24981245]
S1+,O0.333-,[45.08266576],[0.24981245 0.75018755]
S2+,O0.5-,[45.08266576],[0.2 0.8]
O0.5+,S2-,[45.08266576],[0.8 0.2]
S3+,O1-,[44.63527201],[0.25 0.75]
S5+,O1-,[44.59531052],[0.16666667 0.83333333]
S6+,O1-,[44.59523589],[0.14285714 0.85714286]
S4+,O1-,[44.58264595],[0.2 0.8]
C4+,C4-,[44.50565661],[0.5 0.5]
Ag3+,O0.5-,[44.47557913],[0.14285714 0.85714286]
S6+,O2-,[44.42343089],[0.25 0.75]
S1+,O1-,[44.41111881],[0.5 0.5]
O1+,S1-,[44.41111881],[0.5 0.5]
Ag3+,Se2-,[44.143132],[0.4 0.6]
