material1,material2,pred_temp,weights
Y3+,Gd3+,[5.26482801],[0.5 0.5]
Rb1+,Hf4+,[5.26478589],[0.5 0.5]
Li1+,Fr1+,[5.26272256],[0.5 0.5]
Tl3+,Po4+,[5.25599979],[0.5 0.5]
Er3+,Lu3+,[5.24174807],[0.5 0.5]
Eu3+,Dy3+,[5.23352111],[0.5 0.5]
Ni2+,Sr2+,[5.23287161],[0.5 0.5]
Fe3+,Pr3+,[5.22577299],[0.5 0.5]
Th4+,Cm3+,[5.22340248],[0.5 0.5]
Tc4+,La3+,[5.21349408],[0.5 0.5]
Co3+,Pd4+,[5.20730661],[0.5 0.5]
Np5+,Pu4+,[5.20104684],[0.5 0.5]
K1+,Er3+,[5.19874441],[0.5 0.5]
Cr3+,Mn4+,[5.19734201],[0.5 0.5]
Am3+,Bk3+,[5.19623656],[0.5 0.5]
Nb5+,Cm3+,[5.19128456],[0.5 0.5]
Zr4+,Ra2+,[5.19045112],[0.5 0.5]
Hg2+,Pa5+,[5.18891308],[0.5 0.5]
Mo6+,Ba2+,[5.18676982],[0.5 0.5]
K1+,Hf4+,[5.1858126],[0.5 0.5]
Hg2+,Cm3+,[5.17964015],[0.5 0.5]
Ra2+,Np5+,[5.17648264],[0.5 0.5]
Fe3+,Ni2+,[5.17164721],[0.5 0.5]
Hg2+,Bk3+,[5.17014661],[0.5 0.5]
Na1+,Er3+,[5.16660167],[0.5 0.5]
V5+,Ra2+,[5.16333036],[0.5 0.5]
Mo6+,Pr3+,[5.15956339],[0.5 0.5]
Dy3+,Yb3+,[5.14850671],[0.5 0.5]
Pa5+,Bk3+,[5.14819149],[0.5 0.5]
Hf4+,Pu4+,[5.14439717],[0.5 0.5]
Ni2+,Ba2+,[5.14013574],[0.5 0.5]
Cu2+,Ba2+,[5.13958323],[0.5 0.5]
U6+,Am3+,[5.13937085],[0.5 0.5]
Mo6+,Am3+,[5.13887692],[0.5 0.5]
Mo6+,Ir4+,[5.13799908],[0.5 0.5]
Sr2+,Tl3+,[5.12696444],[0.5 0.5]
Y3+,Ta5+,[5.12125592],[0.5 0.5]
Rb1+,Ta5+,[5.11896097],[0.5 0.5]
Th4+,Bk3+,[5.11229511],[0.5 0.5]
K1+,Ag1+,[5.11162562],[0.5 0.5]
K1+,Np5+,[5.10975362],[0.5 0.5]
Hg2+,Th4+,[5.10888606],[0.5 0.5]
Pa5+,Cm3+,[5.10879224],[0.5 0.5]
Ti4+,Gd3+,[5.10163492],[0.5 0.5]
Sn4+,Tl3+,[5.1003395],[0.5 0.5]
Sn4+,Fr1+,[5.09877251],[0.5 0.5]
Sc3+,Tm3+,[5.09708251],[0.5 0.5]
Sr2+,Ta5+,[5.09621033],[0.5 0.5]
Pr3+,Sm3+,[5.09351336],[0.5 0.5]
Cs1+,Re4+,[5.09279047],[0.5 0.5]
Ca2+,Ir4+,[5.09200345],[0.5 0.5]
Cs1+,Pb4+,[5.08762515],[0.5 0.5]
Sr2+,Hf4+,[5.08499106],[0.5 0.5]
Fe3+,In3+,[5.08404043],[0.5 0.5]
Th4+,Am3+,[5.08376332],[0.5 0.5]
Na1+,Sr2+,[5.0754642],[0.5 0.5]
Nd3+,Hf4+,[5.07251189],[0.5 0.5]
Rb1+,Ho3+,[5.06755071],[0.5 0.5]
Cu2+,Cs1+,[5.06552935],[0.5 0.5]
Ca2+,Pt4+,[5.06044759],[0.5 0.5]
Pa5+,Pu4+,[5.05801089],[0.5 0.5]
Mg2+,Ta5+,[5.05284293],[0.5 0.5]
Nb5+,Mo6+,[5.05197996],[0.5 0.5]
Zn2+,Cs1+,[5.04840931],[0.5 0.5]
Nb5+,Am3+,[5.04563931],[0.5 0.5]
K1+,Ni2+,[5.0390573],[0.5 0.5]
Tc4+,Pb4+,[5.03580343],[0.5 0.5]
Tm3+,Yb3+,[5.03534376],[0.5 0.5]
Ta5+,Pb4+,[5.03488428],[0.5 0.5]
Cs1+,Tm3+,[5.02551225],[0.5 0.5]
Mo6+,Gd3+,[5.01675221],[0.5 0.5]
Ca2+,Sr2+,[5.01316999],[0.5 0.5]
Tc4+,Cs1+,[5.00743176],[0.5 0.5]
Rh3+,Cs1+,[5.00577762],[0.5 0.5]
Ce4+,Ac3+,[5.00138732],[0.5 0.5]
V5+,Mn4+,[4.99098345],[0.5 0.5]
Hg2+,Po4+,[4.98706794],[0.5 0.5]
Cs1+,Ta5+,[4.98101631],[0.5 0.5]
Er3+,Yb3+,[4.97974834],[0.5 0.5]
Mn4+,Sn4+,[4.97626194],[0.5 0.5]
K1+,Ta5+,[4.97523195],[0.5 0.5]
Mn4+,Ni2+,[4.97367312],[0.5 0.5]
Tb3+,Ho3+,[4.96886644],[0.5 0.5]
Co3+,Ba2+,[4.96797904],[0.5 0.5]
Nb5+,Au3+,[4.96723566],[0.5 0.5]
Co3+,Cd2+,[4.96479208],[0.5 0.5]
Li1+,Ti4+,[4.95990158],[0.5 0.5]
Rb1+,Bi3+,[4.95961094],[0.5 0.5]
Ag1+,Bk3+,[4.95956868],[0.5 0.5]
Mo6+,Yb3+,[4.95570605],[0.5 0.5]
Ce4+,W6+,[4.95540339],[0.5 0.5]
Ce4+,W4+,[4.95540339],[0.5 0.5]
Nb5+,La3+,[4.95446821],[0.5 0.5]
Ag1+,Cm3+,[4.95366877],[0.5 0.5]
Hg2+,Pb4+,[4.95214334],[0.5 0.5]
Ti4+,Cs1+,[4.9506231],[0.5 0.5]
Tl3+,Pa5+,[4.94797237],[0.5 0.5]
Ce4+,Am3+,[4.94490842],[0.5 0.5]
Cr3+,Nb5+,[4.93733101],[0.5 0.5]
Tb3+,Yb3+,[4.93578339],[0.5 0.5]
Gd3+,Ho3+,[4.93432137],[0.5 0.5]
Fe3+,Co3+,[4.93349248],[0.5 0.5]
Fe3+,Nd3+,[4.93217639],[0.5 0.5]
K1+,Ho3+,[4.93216056],[0.5 0.5]
K1+,Ba2+,[4.93009978],[0.5 0.5]
Cu2+,La3+,[4.92942058],[0.5 0.5]
Tl3+,Th4+,[4.92941827],[0.5 0.5]
K1+,Re4+,[4.92846134],[0.5 0.5]
Mn4+,Nb5+,[4.9275982],[0.5 0.5]
Mn4+,Co3+,[4.92662764],[0.5 0.5]
Ho3+,Yb3+,[4.92384797],[0.5 0.5]
Co3+,Cs1+,[4.92235351],[0.5 0.5]
Mo6+,Ra2+,[4.92212071],[0.5 0.5]
Mo6+,Nd3+,[4.91659451],[0.5 0.5]
La3+,Th4+,[4.91639993],[0.5 0.5]
Hg2+,Bi3+,[4.91606214],[0.5 0.5]
U6+,Cm3+,[4.9159082],[0.5 0.5]
Np5+,Bk3+,[4.91582228],[0.5 0.5]
Al3+,Tc4+,[4.91563859],[0.5 0.5]
Po4+,Pu4+,[4.91236687],[0.5 0.5]
Na1+,Sc3+,[4.90712041],[0.5 0.5]
U6+,Bk3+,[4.90130439],[0.5 0.5]
Pu4+,Bk3+,[4.8999089],[0.5 0.5]
Al3+,Cs1+,[4.89747734],[0.5 0.5]
Li1+,Sr2+,[4.89740431],[0.5 0.5]
Sr2+,W6+,[4.89305469],[0.5 0.5]
Sr2+,W4+,[4.89305469],[0.5 0.5]
Dy3+,Tm3+,[4.89205609],[0.5 0.5]
Mg2+,Lu3+,[4.89023015],[0.5 0.5]
Cs1+,Os4+,[4.88884957],[0.5 0.5]
Tc4+,Hf4+,[4.88823688],[0.5 0.5]
Pm3+,Th4+,[4.8843967],[0.5 0.5]
Pa5+,U6+,[4.88397859],[0.5 0.5]
Cs1+,Tl3+,[4.88367512],[0.5 0.5]
Cd2+,In3+,[4.88202678],[0.5 0.5]
Ni2+,Pb4+,[4.88194814],[0.5 0.5]
Be2+,Ra2+,[4.88181305],[0.5 0.5]
Th4+,U6+,[4.88060219],[0.5 0.5]
Pd4+,Cs1+,[4.87560566],[0.5 0.5]
Cs1+,W6+,[4.87356651],[0.5 0.5]
Cs1+,W4+,[4.87356651],[0.5 0.5]
Dy3+,Er3+,[4.87325409],[0.5 0.5]
Sc3+,Am3+,[4.86897096],[0.5 0.5]
Zr4+,Th4+,[4.86096736],[0.5 0.5]
Sc3+,Fr1+,[4.85932413],[0.5 0.5]
Cs1+,Hf4+,[4.85822645],[0.5 0.5]
