material1,material2,pred_temp,weights
N3+,F1-,[52.04597598],[0.25 0.75]
N4+,N1-,[52.04164931],[0.2 0.8]
N4+,C3-,[52.0289211],[0.42857143 0.57142857]
Ag3+,N1-,[52.00081793],[0.25 0.75]
Cl7+,N1-,[51.98728586],[0.125 0.875]
Cl2+,O2-,[51.92045041],[0.5 0.5]
N3+,C2-,[51.91837108],[0.4 0.6]
C2+,N3-,[51.91837108],[0.6 0.4]
N2+,H1-,[51.79923021],[0.33333333 0.66666667]
H1+,N2-,[51.79923021],[0.66666667 0.33333333]
N4+,F1-,[51.78836043],[0.2 0.8]
N3+,H1-,[51.72382558],[0.25 0.75]
H1+,N3-,[51.72382558],[0.75 0.25]
N4+,H1-,[51.72340741],[0.2 0.8]
N1+,H1-,[51.62047071],[0.5 0.5]
H1+,N1-,[51.62047071],[0.5 0.5]
C4+,N2-,[51.58787388],[0.33333333 0.66666667]
N2+,C4-,[51.58787388],[0.66666667 0.33333333]
N3+,C1-,[51.44679098],[0.25 0.75]
C1+,N3-,[51.44679098],[0.75 0.25]
N4+,C1-,[51.39572188],[0.2 0.8]
Cl5+,N1-,[51.39478214],[0.16666667 0.83333333]
H1+,O1-,[51.25673427],[0.5 0.5]
O1+,H1-,[51.25673427],[0.5 0.5]
C1+,N2-,[51.13068453],[0.66666667 0.33333333]
N2+,C1-,[51.13068453],[0.33333333 0.66666667]
N5+,C2-,[51.0810935],[0.28571429 0.71428571]
N5+,C3-,[51.06670822],[0.375 0.625]
Cl6+,N1-,[51.03203704],[0.14285714 0.85714286]
H1+,H1-,[50.95875254],[0.5 0.5]
B2+,O0.333-,[50.93235827],[0.14273468 0.85726532]
O0.333+,B3-,[50.91564958],[0.90009001 0.09990999]
B3+,O0.333-,[50.91564958],[0.09990999 0.90009001]
Cl7+,N2-,[50.80328079],[0.22222222 0.77777778]
H1+,S1-,[50.77889167],[0.5 0.5]
S1+,H1-,[50.77889167],[0.5 0.5]
S1+,O2-,[50.75813702],[0.66666667 0.33333333]
O2+,S1-,[50.75813702],[0.33333333 0.66666667]
O2+,Br1-,[50.74231036],[0.33333333 0.66666667]
Br1+,O2-,[50.74231036],[0.66666667 0.33333333]
Cl7+,N3-,[50.71213253],[0.3 0.7]
Kr2+,O0.5-,[50.71167541],[0.2 0.8]
Kr2+,O0.333-,[50.6462319],[0.14273468 0.85726532]
Br1+,O1-,[50.55252547],[0.5 0.5]
O1+,Br1-,[50.55252547],[0.5 0.5]
N4+,C2-,[50.51407669],[0.33333333 0.66666667]
Cl7+,O0.333-,[50.4017318],[0.04541116 0.95458884]
Kr2+,O1-,[50.33284169],[0.33333333 0.66666667]
Cu1+,O0.333-,[50.33237695],[0.24981245 0.75018755]
B3+,O0.5-,[50.30434706],[0.14285714 0.85714286]
O0.5+,B3-,[50.30434706],[0.85714286 0.14285714]
Cl6+,N2-,[50.195254],[0.25 0.75]
Ag2+,Sb3-,[50.19019007],[0.6 0.4]
Cl4+,O0.333-,[50.1618327],[0.07685207 0.92314793]
Cl6+,O0.333-,[50.1618327],[0.05258171 0.94741829]
Cl5+,O0.333-,[50.1618327],[0.0624414 0.9375586]
Cl6+,O0.5-,[50.1618327],[0.07692308 0.92307692]
Cl5+,O0.5-,[50.1618327],[0.09090909 0.90909091]
Kr2+,H1-,[50.15469895],[0.33333333 0.66666667]
Cl7+,O0.5-,[50.10761415],[0.06666667 0.93333333]
Br3+,O2-,[50.06282293],[0.4 0.6]
Ag3+,Se2-,[50.05055523],[0.4 0.6]
N1+,C3-,[50.04460924],[0.75 0.25]
C3+,N1-,[50.04460924],[0.25 0.75]
O2+,H1-,[50.03356252],[0.33333333 0.66666667]
H1+,O2-,[50.03356252],[0.66666667 0.33333333]
Br1+,F1-,[49.88543642],[0.5 0.5]
C4+,N1-,[49.87766246],[0.2 0.8]
N1+,C4-,[49.87766246],[0.8 0.2]
B2+,O1-,[49.65615798],[0.33333333 0.66666667]
O0.5+,B1-,[49.65615798],[0.66666667 0.33333333]
B1+,O0.5-,[49.65615798],[0.33333333 0.66666667]
Cl3+,O0.333-,[49.50205095],[0.09990999 0.90009001]
Cl4+,N1-,[49.28480511],[0.2 0.8]
Cl3+,N1-,[49.26557769],[0.25 0.75]
Cl6+,N3-,[49.25368756],[0.33333333 0.66666667]
O2+,B3-,[49.17058376],[0.6 0.4]
B3+,O2-,[49.17058376],[0.4 0.6]
Cl5+,N2-,[49.16120794],[0.28571429 0.71428571]
Cl5+,N3-,[49.13856991],[0.375 0.625]
S5+,O2-,[49.08054458],[0.28571429 0.71428571]
Ag3+,O0.5-,[49.04759144],[0.14285714 0.85714286]
Ag3+,F1-,[48.95854622],[0.25 0.75]
Cl2+,N1-,[48.95562379],[0.33333333 0.66666667]
Ag3+,O0.333-,[48.95254662],[0.09990999 0.90009001]
H1+,C1-,[48.94494524],[0.5 0.5]
C1+,H1-,[48.94494524],[0.5 0.5]
S3+,O2-,[48.94291311],[0.4 0.6]
Cl4+,N2-,[48.7848955],[0.33333333 0.66666667]
O1+,S1-,[48.73421285],[0.5 0.5]
S1+,O1-,[48.73421285],[0.5 0.5]
Cl3+,N2-,[48.69954722],[0.4 0.6]
S6+,O0.333-,[48.6889621],[0.05258171 0.94741829]
Br7+,O0.333-,[48.50306429],[0.04541116 0.95458884]
Ag3+,Sb3-,[48.45434329],[0.5 0.5]
Br4+,O0.5-,[48.34825634],[0.11111111 0.88888889]
O2+,S2-,[48.33889189],[0.5 0.5]
S2+,O2-,[48.33889189],[0.5 0.5]
