material1,material2,pred_temp,weights
Br3+,O1-,[52.55514901],[0.25 0.75]
Br7+,O1-,[52.53885104],[0.125 0.875]
Cl5+,O0.333-,[52.48412054],[0.0624414 0.9375586]
Cl6+,O0.5-,[52.48412054],[0.07692308 0.92307692]
Cl7+,O0.5-,[52.45924659],[0.06666667 0.93333333]
Kr2+,H1-,[52.4388505],[0.33333333 0.66666667]
Cl6+,N3-,[52.41156126],[0.33333333 0.66666667]
Cl4+,O0.333-,[52.40918776],[0.07685207 0.92314793]
H1+,C3-,[52.40398169],[0.75 0.25]
C3+,H1-,[52.40398169],[0.25 0.75]
Kr2+,O1-,[52.37682655],[0.33333333 0.66666667]
H1+,C4-,[52.37591447],[0.8 0.2]
C4+,H1-,[52.37591447],[0.2 0.8]
Br5+,O2-,[52.21020928],[0.28571429 0.71428571]
O1+,F1-,[52.17180318],[0.5 0.5]
Kr2+,O0.333-,[52.15762993],[0.14273468 0.85726532]
Kr2+,O0.5-,[52.10234782],[0.2 0.8]
Br4+,O2-,[52.06512182],[0.33333333 0.66666667]
Cl5+,N3-,[52.06086644],[0.375 0.625]
Cl7+,N3-,[52.03710751],[0.3 0.7]
H1+,C2-,[52.01079106],[0.66666667 0.33333333]
C2+,H1-,[52.01079106],[0.33333333 0.66666667]
Br7+,O0.333-,[51.83386596],[0.04541116 0.95458884]
C4+,C4-,[51.71578934],[0.5 0.5]
Cl5+,N1-,[51.7137253],[0.16666667 0.83333333]
O0.5+,S1-,[51.63298648],[0.66666667 0.33333333]
S2+,O1-,[51.63298648],[0.33333333 0.66666667]
S1+,O0.5-,[51.63298648],[0.33333333 0.66666667]
O1+,S2-,[51.63298648],[0.66666667 0.33333333]
Cl6+,N2-,[51.59369478],[0.25 0.75]
O0.333+,F1-,[51.41311348],[0.75018755 0.24981245]
Cl3+,N1-,[51.28179327],[0.25 0.75]
O0.5+,F1-,[51.20706446],[0.66666667 0.33333333]
Cl4+,N1-,[51.14832944],[0.2 0.8]
Ag2+,Cl1-,[51.09591036],[0.33333333 0.66666667]
Br3+,O0.333-,[51.07564735],[0.09990999 0.90009001]
Cl2+,N1-,[51.0578995],[0.33333333 0.66666667]
Br4+,O0.5-,[51.05524001],[0.11111111 0.88888889]
S4+,O2-,[50.88635681],[0.33333333 0.66666667]
Cl3+,N2-,[50.64875502],[0.4 0.6]
S6+,O0.333-,[50.55689498],[0.05258171 0.94741829]
H1+,Cl1-,[50.43954765],[0.5 0.5]
Cl1+,H1-,[50.43954765],[0.5 0.5]
Cl4+,N2-,[50.42100817],[0.33333333 0.66666667]
Br5+,O0.5-,[50.4062204],[0.09090909 0.90909091]
C3+,C3-,[50.40469791],[0.5 0.5]
C4+,C3-,[50.382429],[0.42857143 0.57142857]
C3+,C4-,[50.382429],[0.57142857 0.42857143]
C4+,C2-,[50.36321233],[0.33333333 0.66666667]
C2+,C4-,[50.36321233],[0.66666667 0.33333333]
