material1,material2,material3,pred_temp,weights
Ag1+,Tm3+,Pt2+,[27.17936709],[0.25 0.25 0.5 ]
Ag1+,Nd3+,Os4+,[27.17438249],[0.25 0.25 0.5 ]
Ag1+,Ba2+,W6+,[27.15701698],[0.25 0.25 0.5 ]
Y3+,Ag1+,Os4+,[27.13070535],[0.25 0.25 0.5 ]
Mg2+,Ag1+,Hf4+,[27.08690674],[0.25 0.25 0.5 ]
Cr3+,Ag1+,U6+,[27.06486251],[0.25 0.25 0.5 ]
Ag1+,Au3+,Fr1+,[27.05006058],[0.25 0.25 0.5 ]
Zr4+,Ag1+,Os4+,[27.04919844],[0.25 0.25 0.5 ]
Ag1+,Pr3+,Ir3+,[27.03901518],[0.25 0.25 0.5 ]
Mg2+,Rb1+,Cs1+,[27.01710427],[0.25 0.25 0.5 ]
Li1+,Mg2+,Hg1+,[27.00871584],[0.25 0.25 0.5 ]
Ag1+,Lu3+,Os4+,[27.00343058],[0.25 0.25 0.5 ]
Cu2+,Ag1+,Pu4+,[26.99401806],[0.25 0.25 0.5 ]
Ag1+,Pm3+,Ir3+,[26.97414123],[0.25 0.25 0.5 ]
Mg2+,Rb1+,Fr1+,[26.96035494],[0.25 0.25 0.5 ]
Ag1+,W6+,Po2+,[26.93744378],[0.25 0.25 0.5 ]
Li1+,Ca2+,Bi3+,[26.91793836],[0.25 0.25 0.5 ]
Ca2+,Rb1+,Fr1+,[26.90330304],[0.25 0.25 0.5 ]
Y3+,Ag1+,W6+,[26.89645769],[0.25 0.25 0.5 ]
Ag1+,Lu3+,Au3+,[26.88511281],[0.25 0.25 0.5 ]
Li1+,Mg2+,Ra2+,[26.87658421],[0.25 0.25 0.5 ]
Li1+,Ca2+,Ra2+,[26.87610114],[0.25 0.25 0.5 ]
Be2+,Na1+,Hg1+,[26.87275619],[0.25 0.25 0.5 ]
Ag1+,Dy3+,Os4+,[26.85631372],[0.25 0.25 0.5 ]
Ag1+,Tb3+,Os4+,[26.85631372],[0.25 0.25 0.5 ]
Ag1+,Gd3+,Os4+,[26.85631372],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Pt2+,[26.85574014],[0.25 0.25 0.5 ]
Ag1+,Ce3+,Ir3+,[26.85113595],[0.25 0.25 0.5 ]
Ag1+,Pr3+,Os4+,[26.83267227],[0.25 0.25 0.5 ]
K1+,Ag1+,Lu3+,[26.8247256],[0.25 0.25 0.5 ]
Ag1+,Er3+,Os4+,[26.82413525],[0.25 0.25 0.5 ]
Ag1+,Pt2+,U6+,[26.82247979],[0.25 0.25 0.5 ]
Ag1+,La3+,Ir3+,[26.81929562],[0.25 0.25 0.5 ]
Ni2+,Ag1+,U6+,[26.81128499],[0.25 0.25 0.5 ]
Ti4+,Ag1+,Os4+,[26.80338886],[0.25 0.25 0.5 ]
Sc3+,Ag1+,Os4+,[26.80009755],[0.25 0.25 0.5 ]
Al3+,Ti4+,Ra2+,[26.79614053],[0.25 0.25 0.5 ]
Be2+,Cs1+,Dy3+,[26.77129354],[0.25 0.25 0.5 ]
Sc3+,Ag1+,W6+,[26.76189583],[0.25 0.25 0.5 ]
Be2+,Rb1+,Pm3+,[26.75849721],[0.25 0.25 0.5 ]
Ag1+,Hf4+,Os4+,[26.75257716],[0.25 0.25 0.5 ]
Co3+,Ag1+,U6+,[26.74881535],[0.25 0.25 0.5 ]
Ag1+,La3+,Au3+,[26.72921214],[0.25 0.25 0.5 ]
Ag1+,Er3+,W6+,[26.72440036],[0.25 0.25 0.5 ]
Ag1+,Eu3+,Os4+,[26.71968907],[0.25 0.25 0.5 ]
Be2+,Fr1+,Ac3+,[26.69450569],[0.25 0.25 0.5 ]
Ag1+,Au3+,Pu4+,[26.67276141],[0.25 0.25 0.5 ]
Li1+,K1+,Hg1+,[26.67114424],[0.25 0.25 0.5 ]
Y3+,Ag1+,Pt2+,[26.66200152],[0.25 0.25 0.5 ]
Ag1+,Pm3+,Os4+,[26.64479304],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Hg1+,[26.64408451],[0.25 0.25 0.5 ]
Ga3+,Ag1+,Au3+,[26.63717102],[0.25 0.25 0.5 ]
Mg2+,Ca2+,Cs1+,[26.63654512],[0.25 0.25 0.5 ]
Ag1+,Nd3+,Pt2+,[26.62321219],[0.25 0.25 0.5 ]
Be2+,Cs1+,La3+,[26.62022788],[0.25 0.25 0.5 ]
Ag1+,Pm3+,Au3+,[26.59815593],[0.25 0.25 0.5 ]
Ag1+,La3+,Os4+,[26.59769864],[0.25 0.25 0.5 ]
Ag1+,Nd3+,W6+,[26.59484975],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Bk3+,[26.57895368],[0.25 0.25 0.5 ]
Ca2+,Ag1+,U6+,[26.57398164],[0.25 0.25 0.5 ]
Ag1+,Au3+,Po2+,[26.55491619],[0.25 0.25 0.5 ]
Be2+,Rb1+,Ce3+,[26.55081876],[0.25 0.25 0.5 ]
Be2+,Cs1+,Tb3+,[26.5357023],[0.25 0.25 0.5 ]
Ag1+,Sm3+,Ir3+,[26.51963943],[0.25 0.25 0.5 ]
Be2+,Ag1+,Bk3+,[26.51232828],[0.25 0.25 0.5 ]
Ag1+,Gd3+,Au3+,[26.49596568],[0.25 0.25 0.5 ]
Be2+,Ag1+,Hg1+,[26.49531077],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Hf4+,[26.48233587],[0.25 0.25 0.5 ]
Ag1+,Lu3+,W6+,[26.47736131],[0.25 0.25 0.5 ]
Ga3+,Ag1+,Ta5+,[26.46673268],[0.25 0.25 0.5 ]
Be2+,Rb1+,Bi3+,[26.45631254],[0.25 0.25 0.5 ]
Ag1+,Tb3+,Au3+,[26.44181139],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Po2+,[26.40660837],[0.25 0.25 0.5 ]
Sc3+,Ag1+,Ir3+,[26.39782677],[0.25 0.25 0.5 ]
Ag1+,Ho3+,Ir3+,[26.38925505],[0.25 0.25 0.5 ]
Ag1+,Tm3+,Ir3+,[26.38925505],[0.25 0.25 0.5 ]
Be2+,Rb1+,La3+,[26.38426304],[0.25 0.25 0.5 ]
Ca2+,Sr2+,Bi3+,[26.36830177],[0.25 0.25 0.5 ]
Al3+,Ag1+,Hf4+,[26.3581972],[0.25 0.25 0.5 ]
Ag1+,Ho3+,W6+,[26.35716236],[0.25 0.25 0.5 ]
Mg2+,Ag1+,Am3+,[26.35196814],[0.25 0.25 0.5 ]
Na1+,Ag1+,Lu3+,[26.33001008],[0.25 0.25 0.5 ]
Mg2+,Ba2+,Fr1+,[26.32641104],[0.25 0.25 0.5 ]
Ga3+,Ag1+,Ir3+,[26.3248239],[0.25 0.25 0.5 ]
Ag1+,Dy3+,Au3+,[26.31955929],[0.25 0.25 0.5 ]
Be2+,Cs1+,Ce3+,[26.28462618],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Np5+,[26.28298848],[0.25 0.25 0.5 ]
Ag1+,Sm3+,Os4+,[26.26518727],[0.25 0.25 0.5 ]
Rb1+,Ag1+,Bk3+,[26.25860236],[0.25 0.25 0.5 ]
Ag1+,Eu3+,W6+,[26.25858295],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Ac3+,[26.25362333],[0.25 0.25 0.5 ]
Ca2+,Cs1+,Po2+,[26.25153759],[0.25 0.25 0.5 ]
Ag1+,Ce3+,Os4+,[26.24341993],[0.25 0.25 0.5 ]
Ag1+,Pt2+,Ra2+,[26.21074452],[0.25 0.25 0.5 ]
K1+,Ca2+,Hg1+,[26.19303266],[0.25 0.25 0.5 ]
Ag1+,Eu3+,Ir3+,[26.18421144],[0.25 0.25 0.5 ]
Ag1+,Gd3+,Ir3+,[26.17511922],[0.25 0.25 0.5 ]
Ag1+,Tb3+,Ir3+,[26.17511922],[0.25 0.25 0.5 ]
Be2+,Rb1+,Ac3+,[26.16352474],[0.25 0.25 0.5 ]
Be2+,Na1+,Ce3+,[26.16210326],[0.25 0.25 0.5 ]
Na1+,Ba2+,Bi3+,[26.15920149],[0.25 0.25 0.5 ]
Fe3+,Ag1+,U6+,[26.15772502],[0.25 0.25 0.5 ]
Ag1+,Sm3+,Au3+,[26.14365413],[0.25 0.25 0.5 ]
Li1+,Al3+,Bi3+,[26.12735726],[0.25 0.25 0.5 ]
Y3+,Ag1+,Ir3+,[26.11074102],[0.25 0.25 0.5 ]
Ca2+,Ba2+,Pb2+,[26.10511474],[0.25 0.25 0.5 ]
Ag1+,Ce3+,Au3+,[26.1018838],[0.25 0.25 0.5 ]
Be2+,Rb1+,Tb3+,[26.09459004],[0.25 0.25 0.5 ]
Ag1+,Ta5+,Ra2+,[26.08124411],[0.25 0.25 0.5 ]
Zn2+,Y3+,Ra2+,[26.07444901],[0.25 0.25 0.5 ]
Na1+,Ag1+,Ac3+,[26.02484223],[0.25 0.25 0.5 ]
Al3+,Ag1+,Pu4+,[25.97783043],[0.25 0.25 0.5 ]
Ca2+,Mn2+,Rb1+,[25.97435076],[0.25 0.25 0.5 ]
Be2+,Mg2+,Rb1+,[25.97408511],[0.25 0.25 0.5 ]
Ag1+,Pr3+,W6+,[25.94483464],[0.25 0.25 0.5 ]
Ag1+,Lu3+,Ir3+,[25.92857415],[0.25 0.25 0.5 ]
Be2+,Pb2+,Fr1+,[25.91767199],[0.25 0.25 0.5 ]
Na1+,Ag1+,U6+,[25.91459698],[0.25 0.25 0.5 ]
Be2+,Na1+,Bi3+,[25.89659456],[0.25 0.25 0.5 ]
Mg2+,Ag1+,Cm3+,[25.88663201],[0.25 0.25 0.5 ]
Ag1+,Fr1+,Np5+,[25.87960826],[0.25 0.25 0.5 ]
Ag1+,Sb3+,Pt2+,[25.87261061],[0.25 0.25 0.5 ]
Ag1+,Pm3+,W6+,[25.86614265],[0.25 0.25 0.5 ]
Cu2+,Ag1+,Np5+,[25.86535395],[0.25 0.25 0.5 ]
Ag1+,Os4+,Bi3+,[25.84890032],[0.25 0.25 0.5 ]
Li1+,Be2+,Fr1+,[25.84647122],[0.25 0.25 0.5 ]
Ca2+,Sr2+,Ac3+,[25.8296088],[0.25 0.25 0.5 ]
Mn2+,Ag1+,W6+,[25.82038572],[0.25 0.25 0.5 ]
Ag1+,La3+,W6+,[25.82016502],[0.25 0.25 0.5 ]
Ag1+,Hf4+,Pt2+,[25.80761354],[0.25 0.25 0.5 ]
Al3+,Sr2+,Ra2+,[25.77048186],[0.25 0.25 0.5 ]
Na1+,Ag1+,Hg1+,[25.7667127],[0.25 0.25 0.5 ]
Be2+,Cs1+,Pb2+,[25.76011299],[0.25 0.25 0.5 ]
Be2+,Ag1+,Am3+,[25.75835974],[0.25 0.25 0.5 ]
Li1+,Ag1+,U6+,[25.74889637],[0.25 0.25 0.5 ]
Ag1+,Er3+,Ir3+,[25.73850593],[0.25 0.25 0.5 ]
Ca2+,Pd4+,Fr1+,[25.73806018],[0.25 0.25 0.5 ]
Rb1+,Ag1+,Pu4+,[25.72839935],[0.25 0.25 0.5 ]
Ag1+,Dy3+,Ir3+,[25.70999831],[0.25 0.25 0.5 ]
Ti4+,Eu3+,Yb3+,[25.70384987],[0.25 0.25 0.5 ]
Al3+,Ag1+,Bk3+,[25.6548078],[0.25 0.25 0.5 ]
Ag1+,Sb3+,Ir3+,[25.6438668],[0.25 0.25 0.5 ]
K1+,Ag1+,Tm3+,[25.62021726],[0.25 0.25 0.5 ]
Ca2+,Cs1+,Bi3+,[25.6123629],[0.25 0.25 0.5 ]
Ga3+,Ag1+,Os4+,[25.60961824],[0.25 0.25 0.5 ]
Ag1+,Tb3+,W6+,[25.60493216],[0.25 0.25 0.5 ]
Ag1+,Gd3+,W6+,[25.60493216],[0.25 0.25 0.5 ]
Al3+,Sc3+,Sr2+,[25.5987624],[0.25 0.25 0.5 ]
Be2+,Na1+,Pr3+,[25.59354664],[0.25 0.25 0.5 ]
Ag1+,Tm3+,W6+,[25.55894394],[0.25 0.25 0.5 ]
Al3+,Ag1+,Hg1+,[25.55521351],[0.25 0.25 0.5 ]
Be2+,Sr2+,Nd3+,[25.55268403],[0.25 0.25 0.5 ]
Al3+,K1+,Mn2+,[25.50819432],[0.25 0.25 0.5 ]
Ag1+,Lu3+,Pt2+,[25.49433514],[0.25 0.25 0.5 ]
Al3+,Ag1+,Am3+,[25.49018945],[0.25 0.25 0.5 ]
Ag1+,Dy3+,W6+,[25.48268006],[0.25 0.25 0.5 ]
Be2+,Na1+,Cs1+,[25.4759669],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Hg1+,[25.47584158],[0.25 0.25 0.5 ]
Be2+,Ca2+,Ac3+,[25.45829984],[0.25 0.25 0.5 ]
Be2+,Rb1+,Dy3+,[25.44735344],[0.25 0.25 0.5 ]
Mg2+,Ca2+,Po2+,[25.4208445],[0.25 0.25 0.5 ]
Zn2+,Ag1+,U6+,[25.40997564],[0.25 0.25 0.5 ]
Ca2+,Zn2+,Fr1+,[25.39100546],[0.25 0.25 0.5 ]
Al3+,Cs1+,Pb2+,[25.3697543],[0.25 0.25 0.5 ]
Ag1+,Ce3+,W6+,[25.35364075],[0.25 0.25 0.5 ]
Ag1+,Re4+,Ac3+,[25.34815946],[0.25 0.25 0.5 ]
Be2+,Rb1+,Hg1+,[25.32813924],[0.25 0.25 0.5 ]
Ag1+,Au3+,Np5+,[25.31557101],[0.25 0.25 0.5 ]
Na1+,Sc3+,Mn2+,[25.28144798],[0.25 0.25 0.5 ]
Li1+,Be2+,Bi3+,[25.27977812],[0.25 0.25 0.5 ]
Ca2+,Cd2+,Fr1+,[25.27676605],[0.25 0.25 0.5 ]
Li1+,Cu2+,Yb3+,[25.27379209],[0.25 0.25 0.5 ]
Ag1+,Sm3+,W6+,[25.27343564],[0.25 0.25 0.5 ]
Ag1+,Sb3+,Os4+,[25.26622992],[0.25 0.25 0.5 ]
Be2+,Rb1+,Nd3+,[25.25972462],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Fr1+,[25.25950249],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Bk3+,[25.24983242],[0.25 0.25 0.5 ]
K1+,Ag1+,Ho3+,[25.227058],[0.25 0.25 0.5 ]
Sr2+,Ag1+,Bk3+,[25.22522969],[0.25 0.25 0.5 ]
K1+,Cu2+,Fr1+,[25.22055262],[0.25 0.25 0.5 ]
Be2+,Mg2+,Ac3+,[25.21429759],[0.25 0.25 0.5 ]
Ca2+,Tl1+,Fr1+,[25.20130912],[0.25 0.25 0.5 ]
Ag1+,Ba2+,U6+,[25.20089026],[0.25 0.25 0.5 ]
Li1+,Bi3+,Ra2+,[25.19822766],[0.25 0.25 0.5 ]
Sc3+,Ag1+,Pt2+,[25.19506281],[0.25 0.25 0.5 ]
Li1+,Cu2+,Ra2+,[25.18810505],[0.25 0.25 0.5 ]
Na1+,Ag1+,Ho3+,[25.18514083],[0.25 0.25 0.5 ]
Be2+,Na1+,Am3+,[25.178916],[0.25 0.25 0.5 ]
Ti4+,Zn2+,Ra2+,[25.16700023],[0.25 0.25 0.5 ]
Li1+,Al3+,Ac3+,[25.16467239],[0.25 0.25 0.5 ]
Ag1+,Cs1+,Bk3+,[25.15598266],[0.25 0.25 0.5 ]
Na1+,K1+,Hg1+,[25.15118537],[0.25 0.25 0.5 ]
Mg2+,Cs1+,Bi3+,[25.13389431],[0.25 0.25 0.5 ]
Be2+,Na1+,Fr1+,[25.13300771],[0.25 0.25 0.5 ]
Na1+,Cu2+,Fr1+,[25.12970692],[0.25 0.25 0.5 ]
Ca2+,Sc3+,Fr1+,[25.12002679],[0.25 0.25 0.5 ]
Be2+,Bi3+,Fr1+,[25.10498333],[0.25 0.25 0.5 ]
Be2+,Sr2+,Ac3+,[25.10354269],[0.25 0.25 0.5 ]
K1+,Ag1+,Po2+,[25.06769214],[0.25 0.25 0.5 ]
Be2+,Na1+,Pm3+,[25.06015674],[0.25 0.25 0.5 ]
Ag1+,Fr1+,Bk3+,[25.05487444],[0.25 0.25 0.5 ]
Ca2+,Mn2+,Sr2+,[25.01984257],[0.25 0.25 0.5 ]
Na1+,Ag1+,Tm3+,[25.015573],[0.25 0.25 0.5 ]
Ag1+,Pt2+,Po2+,[25.00758355],[0.25 0.25 0.5 ]
K1+,Cs1+,Hg1+,[24.99890029],[0.25 0.25 0.5 ]
Li1+,Te2+,Po2+,[24.95551823],[0.25 0.25 0.5 ]
K1+,Dy3+,Fr1+,[24.95515607],[0.25 0.25 0.5 ]
Ag1+,Re4+,Bi3+,[24.94193534],[0.25 0.25 0.5 ]
K1+,Rb1+,Hg1+,[24.93788636],[0.25 0.25 0.5 ]
Sr2+,Ba2+,Fr1+,[24.93778165],[0.25 0.25 0.5 ]
Ag1+,Ho3+,Pt2+,[24.93407893],[0.25 0.25 0.5 ]
Na1+,Sr2+,Bi3+,[24.92752347],[0.25 0.25 0.5 ]
Ca2+,Pb2+,Fr1+,[24.90998686],[0.25 0.25 0.5 ]
Ca2+,Sr2+,Po2+,[24.8907484],[0.25 0.25 0.5 ]
Na1+,Bi3+,Fr1+,[24.88836651],[0.25 0.25 0.5 ]
Li1+,Cu2+,Fr1+,[24.86954632],[0.25 0.25 0.5 ]
Be2+,Na1+,Tl1+,[24.86889684],[0.25 0.25 0.5 ]
Mg2+,Ag1+,U6+,[24.86872365],[0.25 0.25 0.5 ]
Ag1+,Os4+,Ac3+,[24.85541662],[0.25 0.25 0.5 ]
K1+,Mn2+,Ag1+,[24.85476885],[0.25 0.25 0.5 ]
